Transaction,Outcome,Customer Pays,DiscoPay Covers,Store Credit,DiscoPay Fee,DiscoPay Net
1,Full Price,$100.00,$0.00,$0.00,$5.30,$5.30
2,20% Extra (credit),$120.00,$0.00,$20.00,$6.30,$6.30
3,20% Discount,$80.00,$20.00,$0.00,$4.30,-$15.70
4,10% Extra (credit),$110.00,$0.00,$10.00,$5.80,$5.80
5,Full Price,$100.00,$0.00,$0.00,$5.30,$5.30
6,10% Discount,$90.00,$10.00,$0.00,$4.80,-$5.20
7,Full Price,$100.00,$0.00,$0.00,$5.30,$5.30
8,Full Price,$100.00,$0.00,$0.00,$5.30,$5.30
9,10% Extra (credit),$110.00,$0.00,$10.00,$5.80,$5.80
10,Full Price,$100.00,$0.00,$0.00,$5.30,$5.30
