Transaction,Outcome,Customer Pays,DiscoPay Covers,Store Credit,DiscoPay Fee,DiscoPay Net
1,20% Extra (credit),120,0,20,6.3,6.3
2,20% Discount,80,20,0,6.3,-13.7
3,Full Price,100,0,0,6.3,6.3
4,Full Price,100,0,0,6.3,6.3
5,20% Discount,80,20,0,6.3,-13.7
6,Full Price,100,0,0,6.3,6.3
7,10% Extra (credit),110,0,10,6.3,6.3
8,10% Extra (credit),110,0,10,6.3,6.3
9,20% Extra (credit),120,0,20,6.3,6.3
10,20% Extra (credit),120,0,20,6.3,6.3
11,10% Discount,90,10,0,6.3,-3.7
12,Full Price,100,0,0,6.3,6.3
13,10% Discount,90,10,0,6.3,-3.7
14,20% Extra (credit),120,0,20,6.3,6.3
15,10% Extra (credit),110,0,10,6.3,6.3
16,20% Discount,80,20,0,6.3,-13.7
17,20% Discount,80,20,0,6.3,-13.7
18,10% Extra (credit),110,0,10,6.3,6.3
19,10% Extra (credit),110,0,10,6.3,6.3
20,Full Price,100,0,0,6.3,6.3
21,Full Price,100,0,0,6.3,6.3
22,Full Price,100,0,0,6.3,6.3
23,Full Price,100,0,0,6.3,6.3
24,Full Price,100,0,0,6.3,6.3
25,Full Price,100,0,0,6.3,6.3
26,Full Price,100,0,0,6.3,6.3
27,10% Discount,90,10,0,6.3,-3.7
28,Full Price,100,0,0,6.3,6.3
29,10% Discount,90,10,0,6.3,-3.7
30,10% Extra (credit),110,0,10,6.3,6.3
31,Full Price,100,0,0,6.3,6.3
32,10% Discount,90,10,0,6.3,-3.7
33,Full Price,100,0,0,6.3,6.3
34,10% Extra (credit),110,0,10,6.3,6.3
35,10% Extra (credit),110,0,10,6.3,6.3
36,20% Discount,80,20,0,6.3,-13.7
37,10% Discount,90,10,0,6.3,-3.7
38,10% Extra (credit),110,0,10,6.3,6.3
39,Full Price,100,0,0,6.3,6.3
40,10% Extra (credit),110,0,10,6.3,6.3
41,10% Extra (credit),110,0,10,6.3,6.3
42,20% Discount,80,20,0,6.3,-13.7
43,Full Price,100,0,0,6.3,6.3
44,10% Extra (credit),110,0,10,6.3,6.3
45,Full Price,100,0,0,6.3,6.3
46,20% Discount,80,20,0,6.3,-13.7
47,20% Extra (credit),120,0,20,6.3,6.3
48,10% Extra (credit),110,0,10,6.3,6.3
49,10% Extra (credit),110,0,10,6.3,6.3
50,10% Extra (credit),110,0,10,6.3,6.3
51,Full Price,100,0,0,6.3,6.3
52,10% Extra (credit),110,0,10,6.3,6.3
53,Full Price,100,0,0,6.3,6.3
54,10% Extra (credit),110,0,10,6.3,6.3
55,20% Discount,80,20,0,6.3,-13.7
56,Full Price,100,0,0,6.3,6.3
57,10% Extra (credit),110,0,10,6.3,6.3
58,10% Extra (credit),110,0,10,6.3,6.3
59,10% Discount,90,10,0,6.3,-3.7
60,10% Discount,90,10,0,6.3,-3.7
61,Full Price,100,0,0,6.3,6.3
62,Full Price,100,0,0,6.3,6.3
63,20% Discount,80,20,0,6.3,-13.7
64,Full Price,100,0,0,6.3,6.3
65,20% Extra (credit),120,0,20,6.3,6.3
66,10% Discount,90,10,0,6.3,-3.7
67,20% Discount,80,20,0,6.3,-13.7
68,10% Extra (credit),110,20,10,6.3,6.3
69,Full Price,100,10,0,6.3,6.3
70,Full Price,100,0,0,6.3,6.3
71,10% Extra (credit),110,0,10,6.3,6.3
72,Full Price,100,10,0,6.3,6.3
73,Full Price,100,0,0,6.3,-13.7
74,20% Discount,80,0,0,6.3,6.3
75,Full Price,100,20,0,6.3,-13.7
76,20% Discount,80,0,0,6.3,6.3
77,10% Extra (credit),110,20,20,6.3,-13.7
78,20% Discount,80,0,0,6.3,6.3
79,Full Price,100,20,0,6.3,-13.7
80,20% Discount,80,0,10,6.3,6.3
81,10% Extra (credit),110,20,10,6.3,6.3
82,10% Extra (credit),110,10,0,6.3,6.3
83,Full Price,100,10,0,6.3,6.3
84,Full Price,100,0,0,6.3,6.3
85,Full Price,100,0,0,6.3,6.3
86,Full Price,100,0,0,6.3,6.3
87,Full Price,100,0,0,6.3,-3.7
88,Full Price,100,0,20,6.3,6.3
89,20% Extra (credit),120,0,0,6.3,6.3
90,10% Discount,90,0,0,6.3,6.3
91,Full Price,100,10,0,6.3,6.3
92,Full Price,100,0,10,6.3,6.3
93,10% Extra (credit),110,0,10,6.3,6.3
94,10% Extra (credit),110,10,10,6.3,-3.7
95,10% Extra (credit),110,10,0,6.3,6.3
96,Full Price,100,10,0,6.3,6.3
97,10% Discount,90,0,20,6.3,6.3
