Transaction,Outcome,Customer Pays,DiscoPay Covers,Store Credit,DiscoPay Fee,DiscoPay Net
1,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
2,Full Price,100.0,0.0,0.0,6.3,6.3
3,Full Price,100.0,0.0,0.0,6.3,6.3
4,20% Extra (credit),120.0,0.0,20.0,6.3,6.3
5,Full Price,100.0,0.0,0.0,6.3,6.3
6,10% Discount,90.0,10.0,0.0,6.3,-3.7
7,Full Price,100.0,0.0,0.0,6.3,6.3
8,20% Extra (credit),120.0,0.0,20.0,6.3,6.3
9,Full Price,100.0,0.0,0.0,6.3,6.3
10,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
11,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
12,Full Price,100.0,0.0,0.0,6.3,6.3
13,Full Price,100.0,0.0,0.0,6.3,6.3
14,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
15,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
16,20% Discount,80.0,20.0,0.0,6.3,-13.7
17,Full Price,100.0,0.0,0.0,6.3,6.3
18,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
19,Full Price,100.0,0.0,0.0,6.3,6.3
20,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
1,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
2,Full Price,100.0,0.0,0.0,6.3,6.3
3,Full Price,100.0,0.0,0.0,6.3,6.3
4,20% Extra (credit),120.0,0.0,20.0,6.3,6.3
5,Full Price,100.0,0.0,0.0,6.3,6.3
6,10% Discount,90.0,10.0,0.0,6.3,-3.7
7,Full Price,100.0,0.0,0.0,6.3,6.3
8,20% Extra (credit),120.0,0.0,20.0,6.3,6.3
9,Full Price,100.0,0.0,0.0,6.3,6.3
10,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
11,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
12,Full Price,100.0,0.0,0.0,6.3,6.3
13,Full Price,100.0,0.0,0.0,6.3,6.3
14,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
15,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
16,20% Discount,80.0,20.0,0.0,6.3,-13.7
17,Full Price,100.0,0.0,0.0,6.3,6.3
18,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
19,Full Price,100.0,0.0,0.0,6.3,6.3
20,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
1,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
2,Full Price,100.0,0.0,0.0,6.3,6.3
3,Full Price,100.0,0.0,0.0,6.3,6.3
4,20% Extra (credit),120.0,0.0,20.0,6.3,6.3
5,Full Price,100.0,0.0,0.0,6.3,6.3
6,10% Discount,90.0,10.0,0.0,6.3,-3.7
7,Full Price,100.0,0.0,0.0,6.3,6.3
8,20% Extra (credit),120.0,0.0,20.0,6.3,6.3
9,Full Price,100.0,0.0,0.0,6.3,6.3
10,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
11,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
12,Full Price,100.0,0.0,0.0,6.3,6.3
13,Full Price,100.0,0.0,0.0,6.3,6.3
14,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
15,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
16,20% Discount,80.0,20.0,0.0,6.3,-13.7
17,Full Price,100.0,0.0,0.0,6.3,6.3
18,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
19,Full Price,100.0,0.0,0.0,6.3,6.3
20,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
1,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
2,Full Price,100.0,0.0,0.0,6.3,6.3
3,Full Price,100.0,0.0,0.0,6.3,6.3
4,20% Extra (credit),120.0,0.0,20.0,6.3,6.3
5,Full Price,100.0,0.0,0.0,6.3,6.3
6,10% Discount,90.0,10.0,0.0,6.3,-3.7
7,Full Price,100.0,0.0,0.0,6.3,6.3
8,20% Extra (credit),120.0,0.0,20.0,6.3,6.3
9,Full Price,100.0,0.0,0.0,6.3,6.3
10,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
11,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
12,Full Price,100.0,0.0,0.0,6.3,6.3
13,Full Price,100.0,0.0,0.0,6.3,6.3
14,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
15,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
16,20% Discount,80.0,20.0,0.0,6.3,-13.7
17,Full Price,100.0,0.0,0.0,6.3,6.3
18,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
19,Full Price,100.0,0.0,0.0,6.3,6.3
20,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
1,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
2,Full Price,100.0,0.0,0.0,6.3,6.3
3,Full Price,100.0,0.0,0.0,6.3,6.3
4,20% Extra (credit),120.0,0.0,20.0,6.3,6.3
5,Full Price,100.0,0.0,0.0,6.3,6.3
6,10% Discount,90.0,10.0,0.0,6.3,-3.7
7,Full Price,100.0,0.0,0.0,6.3,6.3
8,20% Extra (credit),120.0,0.0,20.0,6.3,6.3
9,Full Price,100.0,0.0,0.0,6.3,6.3
10,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
11,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
12,Full Price,100.0,0.0,0.0,6.3,6.3
13,Full Price,100.0,0.0,0.0,6.3,6.3
14,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
15,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
16,20% Discount,80.0,20.0,0.0,6.3,-13.7
17,Full Price,100.0,0.0,0.0,6.3,6.3
18,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
19,Full Price,100.0,0.0,0.0,6.3,6.3
20,10% Extra (credit),110.0,0.0,10.0,6.3,6.3
