Transaction,Outcome,Customer Pays,DiscoPay Covers,Store Credit,DiscoPay Fee,DiscoPay Net
1,10% Discount,$90.00,$10.00,$0.00,$2.70,$-7.30
2,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
3,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
4,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
5,10% Discount,$90.00,$10.00,$0.00,$2.70,$-7.30
6,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
7,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
8,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
9,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
10,10% Discount,$90.00,$10.00,$0.00,$2.70,$-7.30
11,20% Discount,$80.00,$20.00,$0.00,$2.40,$-17.60
12,20% Discount,$80.00,$20.00,$0.00,$2.40,$-17.60
13,10% Discount,$90.00,$10.00,$0.00,$2.70,$-7.30
14,10% Discount,$90.00,$10.00,$0.00,$2.70,$-7.30
15,10% Discount,$90.00,$10.00,$0.00,$2.70,$-7.30
16,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
17,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
18,10% Discount,$90.00,$10.00,$0.00,$2.70,$-7.30
19,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
20,20% Discount,$80.00,$20.00,$0.00,$2.40,$-17.60
21,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
22,10% Extra (credit),$110.00,$0.00,$10.00,$3.30,$3.30
23,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
24,10% Extra (credit),$110.00,$0.00,$10.00,$3.30,$3.30
25,10% Extra (credit),$110.00,$0.00,$10.00,$3.30,$3.30
26,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
27,20% Discount,$80.00,$20.00,$0.00,$2.40,$-17.60
28,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
29,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
30,10% Discount,$90.00,$10.00,$0.00,$2.70,$-7.30
31,10% Extra (credit),$110.00,$0.00,$10.00,$3.30,$3.30
32,10% Extra (credit),$110.00,$0.00,$10.00,$3.30,$3.30
33,10% Extra (credit),$110.00,$0.00,$10.00,$3.30,$3.30
34,20% Discount,$80.00,$20.00,$0.00,$2.40,$-17.60
35,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
36,10% Discount,$90.00,$10.00,$0.00,$2.70,$-7.30
37,20% Discount,$80.00,$20.00,$0.00,$2.40,$-17.60
38,20% Extra (credit),$120.00,$0.00,$20.00,$3.60,$3.60
39,20% Extra (credit),$120.00,$0.00,$20.00,$3.60,$3.60
40,20% Discount,$80.00,$20.00,$0.00,$2.40,$-17.60
41,20% Extra (credit),$120.00,$0.00,$20.00,$3.60,$3.60
42,20% Extra (credit),$120.00,$0.00,$20.00,$3.60,$3.60
43,10% Extra (credit),$110.00,$0.00,$10.00,$3.30,$3.30
44,20% Discount,$80.00,$20.00,$0.00,$2.40,$-17.60
45,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
46,10% Extra (credit),$110.00,$0.00,$10.00,$3.30,$3.30
47,20% Discount,$80.00,$20.00,$0.00,$2.40,$-17.60
48,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
49,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
50,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
51,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
52,20% Discount,$80.00,$20.00,$0.00,$2.40,$-17.60
53,20% Extra (credit),$120.00,$0.00,$20.00,$3.60,$3.60
54,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
55,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
56,10% Discount,$90.00,$10.00,$0.00,$2.70,$-7.30
57,20% Extra (credit),$120.00,$0.00,$20.00,$3.60,$3.60
58,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
59,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
60,10% Discount,$90.00,$10.00,$0.00,$2.70,$-7.30
61,10% Discount,$90.00,$10.00,$0.00,$2.70,$-7.30
62,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
63,20% Discount,$80.00,$20.00,$0.00,$2.40,$-17.60
64,10% Extra (credit),$110.00,$0.00,$10.00,$3.30,$3.30
65,10% Extra (credit),$110.00,$0.00,$10.00,$3.30,$3.30
66,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
67,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
68,10% Discount,$90.00,$10.00,$0.00,$2.70,$-7.30
69,20% Extra (credit),$120.00,$0.00,$20.00,$3.60,$3.60
70,20% Discount,$80.00,$20.00,$0.00,$2.40,$-17.60
71,20% Discount,$80.00,$20.00,$0.00,$2.40,$-17.60
72,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
73,10% Extra (credit),$110.00,$0.00,$10.00,$3.30,$3.30
74,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
75,10% Extra (credit),$110.00,$0.00,$10.00,$3.30,$3.30
76,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
77,10% Extra (credit),$110.00,$0.00,$10.00,$3.30,$3.30
78,10% Discount,$90.00,$10.00,$0.00,$2.70,$-7.30
79,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
80,20% Extra (credit),$120.00,$0.00,$20.00,$3.60,$3.60
81,20% Extra (credit),$120.00,$0.00,$20.00,$3.60,$3.60
82,10% Discount,$90.00,$10.00,$0.00,$2.70,$-7.30
83,10% Discount,$90.00,$10.00,$0.00,$2.70,$-7.30
84,10% Extra (credit),$110.00,$0.00,$10.00,$3.30,$3.30
85,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
86,10% Discount,$90.00,$10.00,$0.00,$2.70,$-7.30
87,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
88,20% Extra (credit),$120.00,$0.00,$20.00,$3.60,$3.60
89,20% Extra (credit),$120.00,$0.00,$20.00,$3.60,$3.60
90,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
91,20% Extra (credit),$120.00,$0.00,$20.00,$3.60,$3.60
92,20% Extra (credit),$120.00,$0.00,$20.00,$3.60,$3.60
93,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
94,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
95,10% Extra (credit),$110.00,$0.00,$10.00,$3.30,$3.30
96,20% Discount,$80.00,$20.00,$0.00,$2.40,$-17.60
97,10% Discount,$90.00,$10.00,$0.00,$2.70,$-7.30
98,Full Price,$100.00,$0.00,$0.00,$3.00,$3.00
99,10% Discount,$90.00,$10.00,$0.00,$2.70,$-7.30
100,10% Discount,$90.00,$10.00,$0.00,$2.70,$-7.30
