Transaction,Outcome,Customer Pays,DiscoPay Covers,Store Credit,DiscoPay Fee,DiscoPay Net
1,Full Price,100.0,0.0,0.0,3.0,3.0
2,Full Price,100.0,0.0,0.0,3.0,3.0
3,Full Price,100.0,0.0,0.0,3.0,3.0
4,20% Extra (credit),120.0,0.0,20.0,3.6,3.6
5,10% Extra (credit),110.0,0.0,10.0,3.3,3.3
1,Full Price,100.0,0.0,0.0,3.0,3.0
2,Full Price,100.0,0.0,0.0,3.0,3.0
3,Full Price,100.0,0.0,0.0,3.0,3.0
4,20% Extra (credit),120.0,0.0,20.0,3.6,3.6
5,10% Extra (credit),110.0,0.0,10.0,3.3,3.3
1,Full Price,100.0,0.0,0.0,3.0,3.0
2,Full Price,100.0,0.0,0.0,3.0,3.0
3,Full Price,100.0,0.0,0.0,3.0,3.0
4,20% Extra (credit),120.0,0.0,20.0,3.6,3.6
5,10% Extra (credit),110.0,0.0,10.0,3.3,3.3
1,Full Price,100.0,0.0,0.0,3.0,3.0
2,Full Price,100.0,0.0,0.0,3.0,3.0
3,Full Price,100.0,0.0,0.0,3.0,3.0
4,20% Extra (credit),120.0,0.0,20.0,3.6,3.6
5,10% Extra (credit),110.0,0.0,10.0,3.3,3.3
1,Full Price,100.0,0.0,0.0,3.0,3.0
2,Full Price,100.0,0.0,0.0,3.0,3.0
3,Full Price,100.0,0.0,0.0,3.0,3.0
4,20% Extra (credit),120.0,0.0,20.0,3.6,3.6
5,10% Extra (credit),110.0,0.0,10.0,3.3,3.3
1,Full Price,100.0,0.0,0.0,3.0,3.0
2,Full Price,100.0,0.0,0.0,3.0,3.0
3,Full Price,100.0,0.0,0.0,3.0,3.0
4,20% Extra (credit),120.0,0.0,20.0,3.6,3.6
5,10% Extra (credit),110.0,0.0,10.0,3.3,3.3
1,Full Price,100.0,0.0,0.0,3.0,3.0
2,Full Price,100.0,0.0,0.0,3.0,3.0
3,Full Price,100.0,0.0,0.0,3.0,3.0
4,20% Extra (credit),120.0,0.0,20.0,3.6,3.6
5,10% Extra (credit),110.0,0.0,10.0,3.3,3.3
1,Full Price,100.0,0.0,0.0,3.0,3.0
2,Full Price,100.0,0.0,0.0,3.0,3.0
3,Full Price,100.0,0.0,0.0,3.0,3.0
4,20% Extra (credit),120.0,0.0,20.0,3.6,3.6
5,10% Extra (credit),110.0,0.0,10.0,3.3,3.3
1,Full Price,100.0,0.0,0.0,3.0,3.0
2,Full Price,100.0,0.0,0.0,3.0,3.0
3,Full Price,100.0,0.0,0.0,3.0,3.0
4,20% Extra (credit),120.0,0.0,20.0,3.6,3.6
5,10% Extra (credit),110.0,0.0,10.0,3.3,3.3
1,Full Price,100.0,0.0,0.0,3.0,3.0
2,Full Price,100.0,0.0,0.0,3.0,3.0
3,Full Price,100.0,0.0,0.0,3.0,3.0
4,20% Extra (credit),120.0,0.0,20.0,3.6,3.6
5,10% Extra (credit),110.0,0.0,10.0,3.3,3.3
1,Full Price,100.0,0.0,0.0,3.0,3.0
2,Full Price,100.0,0.0,0.0,3.0,3.0
3,Full Price,100.0,0.0,0.0,3.0,3.0
4,20% Extra (credit),120.0,0.0,20.0,3.6,3.6
5,10% Extra (credit),110.0,0.0,10.0,3.3,3.3
1,Full Price,100.0,0.0,0.0,3.0,3.0
2,Full Price,100.0,0.0,0.0,3.0,3.0
3,Full Price,100.0,0.0,0.0,3.0,3.0
4,20% Extra (credit),120.0,0.0,20.0,3.6,3.6
5,10% Extra (credit),110.0,0.0,10.0,3.3,3.3
1,Full Price,100.0,0.0,0.0,3.0,3.0
2,Full Price,100.0,0.0,0.0,3.0,3.0
3,Full Price,100.0,0.0,0.0,3.0,3.0
4,20% Extra (credit),120.0,0.0,20.0,3.6,3.6
5,10% Extra (credit),110.0,0.0,10.0,3.3,3.3
1,Full Price,100.0,0.0,0.0,3.0,3.0
2,Full Price,100.0,0.0,0.0,3.0,3.0
3,Full Price,100.0,0.0,0.0,3.0,3.0
